serial_number,temperature,humidity,timestamp
SN-1,24.220729413682555,51.298552397497396,2024-06-28 01:36:52.412956
SN-2,26.697100612168562,50.19178156533093,2024-06-28 01:41:52.412956
SN-3,23.29490265057782,51.72265866517652,2024-06-28 01:46:52.412956
SN-4,25.108477806974847,53.5415826510047,2024-06-28 01:51:52.412956
SN-5,27.143882120394338,57.941815282109445,2024-06-28 01:56:52.412956
SN-6,29.799586079089593,56.15114194071231,2024-06-28 02:01:52.412956
SN-7,24.396435298023036,54.647175550927344,2024-06-28 02:06:52.412956
SN-8,26.912290859688163,57.542278458356925,2024-06-28 02:11:52.412956
SN-9,23.86479577412584,56.41152522154889,2024-06-28 02:16:52.412956
SN-10,26.11427512664249,52.249378505885915,2024-06-28 02:21:52.412956
SN-11,25.480437778279768,53.56759528204581,2024-06-28 02:26:52.412956
SN-12,27.782196737152347,50.8224447184877,2024-06-28 02:31:52.412956
SN-13,25.386469079018948,53.99684998749683,2024-06-28 02:36:52.412956
SN-14,27.578893417648104,54.83531433011137,2024-06-28 02:41:52.412956
SN-15,26.86777549574202,57.8074095321232,2024-06-28 02:46:52.412956
SN-16,28.434339886991367,55.361078724327186,2024-06-28 02:51:52.412956
SN-17,26.24111190675326,50.28514204438134,2024-06-28 02:56:52.412956
SN-18,25.723803318917824,57.19818502195796,2024-06-28 03:01:52.412956
SN-19,23.762907501692904,58.46320853556291,2024-06-28 03:06:52.412956
SN-20,28.60649797612426,54.901916487436885,2024-06-28 03:11:52.412956
SN-21,26.690407724819483,59.53648352888777,2024-06-28 03:16:52.412956
SN-22,23.37000145821527,52.1384771877845,2024-06-28 03:21:52.412956
SN-23,24.738612660579165,53.16038951230414,2024-06-28 03:26:52.412956
SN-24,25.183158885758615,56.44303398350455,2024-06-28 03:31:52.412956
SN-25,24.478193725419015,52.08324285258439,2024-06-28 03:36:52.412956
SN-26,29.080291143176513,55.91880587645882,2024-06-28 03:41:52.412956
SN-27,24.366082311300122,58.83089583532659,2024-06-28 03:46:52.412956
SN-28,28.99332761021251,56.326807742732846,2024-06-28 03:51:52.412956
SN-29,29.751918006459505,51.945922471343685,2024-06-28 03:56:52.412956
SN-30,25.60669349027532,53.53168213630358,2024-06-28 04:01:52.412956
SN-31,25.84245063952199,58.859146098356625,2024-06-28 04:06:52.412956
SN-32,29.303483450290344,51.55807251312378,2024-06-28 04:11:52.412956
SN-33,23.346527336918502,54.974815907304134,2024-06-28 04:16:52.412956
SN-34,24.617089903698464,53.787665529375964,2024-06-28 04:21:52.412956
SN-35,25.316854760111486,57.28648086907752,2024-06-28 04:26:52.412956
SN-36,29.491012926772946,56.71930680967784,2024-06-28 04:31:52.412956
SN-37,26.636861066178668,51.910326437384306,2024-06-28 04:36:52.412956
SN-38,28.39566367526502,57.972928104539406,2024-06-28 04:41:52.412956
SN-39,25.37407737550101,51.222126255075985,2024-06-28 04:46:52.412956
SN-40,25.549405818978766,55.337741735201995,2024-06-28 04:51:52.412956
SN-41,25.05328250683636,55.02401381616796,2024-06-28 04:56:52.412956
SN-42,23.42825200432588,56.09390737177851,2024-06-28 05:01:52.412956
SN-43,28.845067834169864,58.00835424616912,2024-06-28 05:06:52.412956
SN-44,26.821090373292655,53.76925924967581,2024-06-28 05:11:52.412956
SN-45,25.596373095618212,51.55851740512658,2024-06-28 05:16:52.412956
SN-46,24.58007499809423,54.44308460986862,2024-06-28 05:21:52.412956
SN-47,26.817715033042692,52.485821143257596,2024-06-28 05:26:52.412956
SN-48,29.315767006975296,53.89307343382936,2024-06-28 05:31:52.412956
SN-49,25.212048809413357,53.03032856156328,2024-06-28 05:36:52.412956
SN-50,27.386667853417507,54.17960433987807,2024-06-28 05:41:52.412956
SN-51,28.06137561679195,53.34552733960939,2024-06-28 05:46:52.412956
SN-52,25.11474009189226,59.69619678803649,2024-06-28 05:51:52.412956
SN-53,29.399630738968355,59.11787167493251,2024-06-28 05:56:52.412956
SN-54,24.119741346847686,59.69464371097413,2024-06-28 06:01:52.412956
SN-55,23.238821686427965,57.15358618273389,2024-06-28 06:06:52.412956
SN-56,23.248788598572315,53.264134357017056,2024-06-28 06:11:52.412956
SN-57,28.83932315949659,52.9850230766412,2024-06-28 06:16:52.412956
SN-58,28.114783956524725,50.64087489329721,2024-06-28 06:21:52.412956
SN-59,25.250275136876475,59.78814511167738,2024-06-28 06:26:52.412956
SN-60,25.1725839303181,57.66473117041981,2024-06-28 06:31:52.412956
SN-61,27.10032170480526,53.59478455099939,2024-06-28 06:36:52.412956
SN-62,23.96694985938716,58.75329194977251,2024-06-28 06:41:52.412956
SN-63,27.507478262325876,54.49324480754191,2024-06-28 06:46:52.412956
SN-64,23.83199644535708,57.234318698004955,2024-06-28 06:51:52.412956
SN-65,27.327195178627072,51.49280332950242,2024-06-28 06:56:52.412956
SN-66,26.03183631756134,51.634885429701534,2024-06-28 07:01:52.412956
SN-67,25.141848783642196,56.42226681174369,2024-06-28 07:06:52.412956
SN-68,24.649431887413037,52.00296669457724,2024-06-28 07:11:52.412956
SN-69,29.980140857297137,57.55532933496765,2024-06-28 07:16:52.412956
SN-70,29.059828061785787,56.12007474398464,2024-06-28 07:21:52.412956
SN-71,23.588746009223115,57.6964221150795,2024-06-28 07:26:52.412956
SN-72,28.346674796777737,50.20399546503042,2024-06-28 07:31:52.412956
SN-73,24.290585204732853,50.940327915584525,2024-06-28 07:36:52.412956
SN-74,28.756977897685335,51.32628968074017,2024-06-28 07:41:52.412956
SN-75,29.502963348761874,56.44861953923799,2024-06-28 07:46:52.412956
SN-76,29.30518608565295,50.66148061511059,2024-06-28 07:51:52.412956
SN-77,26.66774299495153,51.95871352065525,2024-06-28 07:56:52.412956
SN-78,26.542733871619703,51.08672151289353,2024-06-28 08:01:52.412956
SN-79,29.63733021955806,52.43282425760801,2024-06-28 08:06:52.412956
SN-80,26.83586008654485,55.62235112699952,2024-06-28 08:11:52.412956
