serial_number,temperature,humidity,timestamp
SN-1,23.18335174500519,50.85917172131489,2024-06-29 01:36:52.405956
SN-2,29.743256803424863,55.37010581304847,2024-06-29 01:41:52.405956
SN-3,28.072507488243733,52.275241551659384,2024-06-29 01:46:52.405956
SN-4,28.765411901159506,58.21565171179403,2024-06-29 01:51:52.405956
SN-5,29.885659423711953,55.09052615198067,2024-06-29 01:56:52.405956
SN-6,24.649013873946625,59.80076130637476,2024-06-29 02:01:52.405956
SN-7,29.433675951684428,57.19366160363642,2024-06-29 02:06:52.405956
SN-8,25.234899992967833,55.87590115527361,2024-06-29 02:11:52.405956
SN-9,24.027396897936757,54.29510920908252,2024-06-29 02:16:52.405956
SN-10,28.93428217797617,52.031578328837924,2024-06-29 02:21:52.405956
SN-11,27.256859535878224,54.86668003764838,2024-06-29 02:26:52.405956
SN-12,26.945474452513203,52.16800087289079,2024-06-29 02:31:52.405956
SN-13,24.767576215501077,55.93220581186037,2024-06-29 02:36:52.405956
SN-14,29.043277532677514,58.51033109538706,2024-06-29 02:41:52.405956
SN-15,29.548311680258593,50.709556529156075,2024-06-29 02:46:52.405956
SN-16,25.376618354371082,52.205908284308066,2024-06-29 02:51:52.405956
SN-17,29.611960670510392,54.57775117156033,2024-06-29 02:56:52.405956
SN-18,29.68415448481884,55.09236519274775,2024-06-29 03:01:52.405956
SN-19,24.434217883098192,50.870866550396755,2024-06-29 03:06:52.405956
SN-20,27.164782218468353,53.88791852126501,2024-06-29 03:11:52.405956
SN-21,28.357746334430058,50.936237793110486,2024-06-29 03:16:52.405956
SN-22,23.243956548036138,57.61604367395982,2024-06-29 03:21:52.405956
SN-23,28.523694295695663,58.09213719365937,2024-06-29 03:26:52.405956
SN-24,23.927781454261844,51.76807693856012,2024-06-29 03:31:52.405956
SN-25,26.893767739457576,54.58444814893926,2024-06-29 03:36:52.405956
SN-26,24.868791193552763,53.751498157467594,2024-06-29 03:41:52.405956
SN-27,26.769572430123382,59.906794765401315,2024-06-29 03:46:52.405956
